url_api,tahun,kode_daerah
https://isb.lkpp.go.id/isb-2/api/d5c9a703-07bb-4e87-8e08-ff04b23741b9/json/3325/RUP-SubKegiatanMaster/tipe/4:12/parameter,2022,D197
https://isb.lkpp.go.id/isb-2/api/d5c9a703-07bb-4e87-8e08-ff04b23741b9/json/3325/RUP-SubKegiatanMaster/tipe/4:12/parameter,2023,D197
https://isb.lkpp.go.id/isb-2/api/d5c9a703-07bb-4e87-8e08-ff04b23741b9/json/3325/RUP-SubKegiatanMaster/tipe/4:12/parameter,2024,D197
https://isb.lkpp.go.id/isb-2/api/024e7c91-226e-417d-be1a-1667a84595ee/json/3333/RUP-KegiatanMaster/tipe/4:12/parameter,2022,D197
https://isb.lkpp.go.id/isb-2/api/024e7c91-226e-417d-be1a-1667a84595ee/json/3333/RUP-KegiatanMaster/tipe/4:12/parameter,2023,D197
https://isb.lkpp.go.id/isb-2/api/024e7c91-226e-417d-be1a-1667a84595ee/json/3333/RUP-KegiatanMaster/tipe/4:12/parameter,2024,D197
https://isb.lkpp.go.id/isb-2/api/999bd6d6-9e67-4c7d-83bd-650430ce2fe7/json/3342/RUP-PaketPenyedia-Terumumkan/tipe/4:12/parameter,2022,D197
https://isb.lkpp.go.id/isb-2/api/999bd6d6-9e67-4c7d-83bd-650430ce2fe7/json/3342/RUP-PaketPenyedia-Terumumkan/tipe/4:12/parameter,2023,D197
https://isb.lkpp.go.id/isb-2/api/999bd6d6-9e67-4c7d-83bd-650430ce2fe7/json/3342/RUP-PaketPenyedia-Terumumkan/tipe/4:12/parameter,2024,D197
https://isb.lkpp.go.id/isb-2/api/07f8350f-d005-42ce-bcaf-a39eaf3fbb02/json/3345/RUP-PaketSwakelola-Terumumkan/tipe/4:12/parameter,2022,D197
https://isb.lkpp.go.id/isb-2/api/07f8350f-d005-42ce-bcaf-a39eaf3fbb02/json/3345/RUP-PaketSwakelola-Terumumkan/tipe/4:12/parameter,2023,D197
https://isb.lkpp.go.id/isb-2/api/07f8350f-d005-42ce-bcaf-a39eaf3fbb02/json/3345/RUP-PaketSwakelola-Terumumkan/tipe/4:12/parameter,2024,D197
https://isb.lkpp.go.id/isb-2/api/6d5fd703-2fbe-44fe-8b93-a88ecaaacab3/json/3346/RUP-ProgramMaster/tipe/4:12/parameter,2022,D197
https://isb.lkpp.go.id/isb-2/api/6d5fd703-2fbe-44fe-8b93-a88ecaaacab3/json/3346/RUP-ProgramMaster/tipe/4:12/parameter,2023,D197
https://isb.lkpp.go.id/isb-2/api/6d5fd703-2fbe-44fe-8b93-a88ecaaacab3/json/3346/RUP-ProgramMaster/tipe/4:12/parameter,2024,D197
https://isb.lkpp.go.id/isb-2/api/865585cb-e72c-41d8-b064-f6dd83253608/json/3348/RUP-PaketPenyediaLokasi/tipe/4:12/parameter,2022,D197
https://isb.lkpp.go.id/isb-2/api/865585cb-e72c-41d8-b064-f6dd83253608/json/3348/RUP-PaketPenyediaLokasi/tipe/4:12/parameter,2023,D197
https://isb.lkpp.go.id/isb-2/api/865585cb-e72c-41d8-b064-f6dd83253608/json/3348/RUP-PaketPenyediaLokasi/tipe/4:12/parameter,2024,D197
https://isb.lkpp.go.id/isb-2/api/fbfc9ab8-6a71-49d2-a955-7b9e9b57a4fe/json/3349/RUP-PaketSwakelolaLokasi/tipe/4:12/parameter,2022,D197
https://isb.lkpp.go.id/isb-2/api/fbfc9ab8-6a71-49d2-a955-7b9e9b57a4fe/json/3349/RUP-PaketSwakelolaLokasi/tipe/4:12/parameter,2023,D197
https://isb.lkpp.go.id/isb-2/api/fbfc9ab8-6a71-49d2-a955-7b9e9b57a4fe/json/3349/RUP-PaketSwakelolaLokasi/tipe/4:12/parameter,2024,D197
https://isb.lkpp.go.id/isb-2/api/05fe5f87-9547-4a56-991d-041433864211/json/3350/RUP-PaketAnggaranPenyedia/tipe/4:12/parameter,2022,D197
https://isb.lkpp.go.id/isb-2/api/05fe5f87-9547-4a56-991d-041433864211/json/3350/RUP-PaketAnggaranPenyedia/tipe/4:12/parameter,2023,D197
https://isb.lkpp.go.id/isb-2/api/05fe5f87-9547-4a56-991d-041433864211/json/3350/RUP-PaketAnggaranPenyedia/tipe/4:12/parameter,2024,D197
https://isb.lkpp.go.id/isb-2/api/ba2c6327-9451-49c9-8c61-408936baaff6/json/4847/RUP-MasterSatker/tipe/12:12/parameter,2022,D197
https://isb.lkpp.go.id/isb-2/api/ba2c6327-9451-49c9-8c61-408936baaff6/json/4847/RUP-MasterSatker/tipe/12:12/parameter,2023,D197
https://isb.lkpp.go.id/isb-2/api/ba2c6327-9451-49c9-8c61-408936baaff6/json/4847/RUP-MasterSatker/tipe/12:12/parameter,2024,D197
https://isb.lkpp.go.id/isb-2/api/3adfa365-7962-4994-8bce-4e6ca5e10320/json/6987/RUP-StrukturAnggaranPD/tipe/4:12/parameter,2022,D197
https://isb.lkpp.go.id/isb-2/api/3adfa365-7962-4994-8bce-4e6ca5e10320/json/6987/RUP-StrukturAnggaranPD/tipe/4:12/parameter,2023,D197
https://isb.lkpp.go.id/isb-2/api/3adfa365-7962-4994-8bce-4e6ca5e10320/json/6987/RUP-StrukturAnggaranPD/tipe/4:12/parameter,2024,D197
https://isb.lkpp.go.id/isb-2/api/29926865-cf96-40fa-87ef-71497a53c9b8/json/8093/RUP-SubKegiatanMaster/tipe/4:12/parameter,2022,D206
https://isb.lkpp.go.id/isb-2/api/29926865-cf96-40fa-87ef-71497a53c9b8/json/8093/RUP-SubKegiatanMaster/tipe/4:12/parameter,2023,D206
https://isb.lkpp.go.id/isb-2/api/29926865-cf96-40fa-87ef-71497a53c9b8/json/8093/RUP-SubKegiatanMaster/tipe/4:12/parameter,2024,D206
https://isb.lkpp.go.id/isb-2/api/27bd3cd4-b772-454a-a11a-f3aa3cfec410/json/8084/RUP-KegiatanMaster/tipe/4:12/parameter,2022,D206
https://isb.lkpp.go.id/isb-2/api/27bd3cd4-b772-454a-a11a-f3aa3cfec410/json/8084/RUP-KegiatanMaster/tipe/4:12/parameter,2023,D206
https://isb.lkpp.go.id/isb-2/api/27bd3cd4-b772-454a-a11a-f3aa3cfec410/json/8084/RUP-KegiatanMaster/tipe/4:12/parameter,2024,D206
https://isb.lkpp.go.id/isb-2/api/150a43e4-a51b-4999-a8c5-72a8de03602a/json/8127/RUP-PaketPenyedia-Terumumkan/tipe/4:12/parameter,2022,D206
https://isb.lkpp.go.id/isb-2/api/150a43e4-a51b-4999-a8c5-72a8de03602a/json/8127/RUP-PaketPenyedia-Terumumkan/tipe/4:12/parameter,2023,D206
https://isb.lkpp.go.id/isb-2/api/150a43e4-a51b-4999-a8c5-72a8de03602a/json/8127/RUP-PaketPenyedia-Terumumkan/tipe/4:12/parameter,2024,D206
https://isb.lkpp.go.id/isb-2/api/8c2ef7fa-8c41-452f-a213-92bf8bca8521/json/8091/RUP-PaketSwakelola-Terumumkan/tipe/4:12/parameter,2022,D206
https://isb.lkpp.go.id/isb-2/api/8c2ef7fa-8c41-452f-a213-92bf8bca8521/json/8091/RUP-PaketSwakelola-Terumumkan/tipe/4:12/parameter,2023,D206
https://isb.lkpp.go.id/isb-2/api/8c2ef7fa-8c41-452f-a213-92bf8bca8521/json/8091/RUP-PaketSwakelola-Terumumkan/tipe/4:12/parameter,2024,D206
https://isb.lkpp.go.id/isb-2/api/cdc7ff31-a16b-4d03-af9a-0ad532b6706f/json/8104/RUP-ProgramMaster/tipe/4:12/parameter,2022,D206
https://isb.lkpp.go.id/isb-2/api/cdc7ff31-a16b-4d03-af9a-0ad532b6706f/json/8104/RUP-ProgramMaster/tipe/4:12/parameter,2023,D206
https://isb.lkpp.go.id/isb-2/api/cdc7ff31-a16b-4d03-af9a-0ad532b6706f/json/8104/RUP-ProgramMaster/tipe/4:12/parameter,2024,D206
https://isb.lkpp.go.id/isb-2/api/165ca5d0-9c5f-48f2-b238-45d13dea8ac9/json/8129/RUP-PaketPenyediaLokasi/tipe/4:12/parameter,2022,D206
https://isb.lkpp.go.id/isb-2/api/165ca5d0-9c5f-48f2-b238-45d13dea8ac9/json/8129/RUP-PaketPenyediaLokasi/tipe/4:12/parameter,2023,D206
https://isb.lkpp.go.id/isb-2/api/165ca5d0-9c5f-48f2-b238-45d13dea8ac9/json/8129/RUP-PaketPenyediaLokasi/tipe/4:12/parameter,2024,D206
https://isb.lkpp.go.id/isb-2/api/8df010fe-2177-42fa-8533-46ffbd41c146/json/8090/RUP-PaketSwakelolaLokasi/tipe/4:12/parameter,2022,D206
https://isb.lkpp.go.id/isb-2/api/8df010fe-2177-42fa-8533-46ffbd41c146/json/8090/RUP-PaketSwakelolaLokasi/tipe/4:12/parameter,2023,D206
https://isb.lkpp.go.id/isb-2/api/8df010fe-2177-42fa-8533-46ffbd41c146/json/8090/RUP-PaketSwakelolaLokasi/tipe/4:12/parameter,2024,D206
https://isb.lkpp.go.id/isb-2/api/2cfd0532-aa67-4103-96ad-be996369339f/json/8094/RUP-PaketAnggaranPenyedia/tipe/4:12/parameter,2022,D206
https://isb.lkpp.go.id/isb-2/api/2cfd0532-aa67-4103-96ad-be996369339f/json/8094/RUP-PaketAnggaranPenyedia/tipe/4:12/parameter,2023,D206
https://isb.lkpp.go.id/isb-2/api/2cfd0532-aa67-4103-96ad-be996369339f/json/8094/RUP-PaketAnggaranPenyedia/tipe/4:12/parameter,2024,D206
https://isb.lkpp.go.id/isb-2/api/9ea15884-c36b-43cf-a73d-29e6897182ac/json/8106/RUP-MasterSatker/tipe/12:12/parameter,2022,D206
https://isb.lkpp.go.id/isb-2/api/9ea15884-c36b-43cf-a73d-29e6897182ac/json/8106/RUP-MasterSatker/tipe/12:12/parameter,2023,D206
https://isb.lkpp.go.id/isb-2/api/9ea15884-c36b-43cf-a73d-29e6897182ac/json/8106/RUP-MasterSatker/tipe/12:12/parameter,2024,D206
https://isb.lkpp.go.id/isb-2/api/19254004-fca9-4cf3-8717-6c6f179c8671/json/8123/RUP-StrukturAnggaranPD/tipe/4:12/parameter,2022,D206
https://isb.lkpp.go.id/isb-2/api/19254004-fca9-4cf3-8717-6c6f179c8671/json/8123/RUP-StrukturAnggaranPD/tipe/4:12/parameter,2023,D206
https://isb.lkpp.go.id/isb-2/api/19254004-fca9-4cf3-8717-6c6f179c8671/json/8123/RUP-StrukturAnggaranPD/tipe/4:12/parameter,2024,D206
https://isb.lkpp.go.id/isb-2/api/bb1daf75-e4c4-453a-bc80-35b6aafc5c25/json/10553/RUP-SubKegiatanMaster/tipe/4:12/parameter,2022,D210
https://isb.lkpp.go.id/isb-2/api/bb1daf75-e4c4-453a-bc80-35b6aafc5c25/json/10553/RUP-SubKegiatanMaster/tipe/4:12/parameter,2023,D210
https://isb.lkpp.go.id/isb-2/api/bb1daf75-e4c4-453a-bc80-35b6aafc5c25/json/10553/RUP-SubKegiatanMaster/tipe/4:12/parameter,2024,D210
https://isb.lkpp.go.id/isb-2/api/06ddfd2e-db4e-4a9f-ac70-c346b21bfcbd/json/10544/RUP-KegiatanMaster/tipe/4:12/parameter,2022,D210
https://isb.lkpp.go.id/isb-2/api/06ddfd2e-db4e-4a9f-ac70-c346b21bfcbd/json/10544/RUP-KegiatanMaster/tipe/4:12/parameter,2023,D210
